name,short_name,continent,country,region,image_base_url_relative,bbox_url_relative,image_base_url_gcp,metadata_url_gcp,bbox_url_gcp,image_base_url_aws,metadata_url_aws,bbox_url_aws,image_base_url_azure,metadata_url_azure,bbox_url_azure,mdv5a_results_raw,mdv5b_results_raw,md1000-redwood_results_raw,md_results_with_rde
Snapshot Camdeboo,snapshot-safari_CDB,Africa,South Africa,,snapshot-safari/CDB/CDB_public,,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/CDB/CDB_public,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/CDB/SnapshotCamdeboo_S1_v1.0.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/CDB/CDB_public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/CDB/SnapshotCamdeboo_S1_v1.0.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/CDB/CDB_public,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/CDB/SnapshotCamdeboo_S1_v1.0.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_CDB_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/snapshot-safari_CDB_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_CDB_mdv5a.0.0_results.filtered_rde_0.150_0.850_15_0.200.json.zip
Snapshot Mountain Zebra,snapshot-safari_MTZ,Africa,South Africa,,snapshot-safari/MTZ/MTZ_public,,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/MTZ/MTZ_public,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/MTZ/SnapshotMountainZebra_S1_v1.0.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/MTZ/MTZ_public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/MTZ/SnapshotMountainZebra_S1_v1.0.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/MTZ/MTZ_public,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/MTZ/SnapshotMountainZebra_S1_v1.0.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_MTZ_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/snapshot-safari_MTZ_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_MTZ_mdv5a.0.0_results.filtered_rde_0.150_0.850_15_0.200.json.zip
Snapshot Kruger,snapshot-safari_KRU,Africa,South Africa,,snapshot-safari/KRU/KRU_public,,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/KRU/KRU_public,https://storage.googleapis.com/public-datasets-lila/snapshot-safari/KRU/SnapshotKruger_S1_v1.0.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/KRU/KRU_public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari/KRU/SnapshotKruger_S1_v1.0.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/KRU/KRU_public,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari/KRU/SnapshotKruger_S1_v1.0.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_KRU_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/snapshot-safari_KRU_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/snapshot-safari_KRU_mdv5a.0.0_results.filtered_rde_0.150_0.850_15_0.200.json.zip
SWG Camera Traps,swg-camera-traps,Asia,Vietnam;Lao,,swg-camera-traps,swg-camera-traps/swg_camera_traps.bounding_boxes.with_species.zip,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/swg_camera_traps.zip,https://storage.googleapis.com/public-datasets-lila/swg-camera-traps/swg_camera_traps.bounding_boxes.with_species.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/swg_camera_traps.zip,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/swg-camera-traps/swg_camera_traps.bounding_boxes.with_species.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/swg_camera_traps.zip,https://lilawildlife.blob.core.windows.net/lila-wildlife/swg-camera-traps/swg_camera_traps.bounding_boxes.with_species.zip,https://lila.science/public/lila-md-results/swg-camera-traps_public_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/swg-camera-traps_public_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/swg-camera-traps_public_mdv5a.0.0_results.filtered_rde_0.100_0.850_30_0.200.json.zip
Orinoquia Camera Traps,orinoquia-camera-traps,South America,Colombia,Orinoquía,orinoquia-camera-traps/public,,https://storage.googleapis.com/public-datasets-lila/orinoquia-camera-traps/public,https://storage.googleapis.com/public-datasets-lila/orinoquia-camera-traps/orinoquia_camera_traps_metadata.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/orinoquia-camera-traps/public,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/orinoquia-camera-traps/orinoquia_camera_traps_metadata.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/orinoquia-camera-traps/public,https://lilawildlife.blob.core.windows.net/lila-wildlife/orinoquia-camera-traps/orinoquia_camera_traps_metadata.zip,,https://lila.science/public/lila-md-results/orinoquia-camera-traps_public_mdv5a.0.0_results.json.zip,https://lila.science/public/lila-md-results/orinoquia-camera-traps_public_mdv5b.0.0_results.json.zip,,https://lila.science/public/lila-md-results/orinoquia-camera-traps_public_mdv5a.0.0_results.filtered_rde_0.150_0.850_10_0.200.json.zip
Trail Camera Images of New Zealand Animals,nz-trailcams,Oceania,New Zealand,,nz-trailcams,,https://storage.googleapis.com/public-datasets-lila/nz-trailcams,https://storage.googleapis.com/public-datasets-lila/nz-trailcams/trail_camera_images_of_new_zealand_animals_1.00.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nz-trailcams,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/nz-trailcams/trail_camera_images_of_new_zealand_animals_1.00.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/nz-trailcams,https://lilawildlife.blob.core.windows.net/lila-wildlife/nz-trailcams/trail_camera_images_of_new_zealand_animals_1.00.json.zip,,https://lila.science/public/lila-md-results/nz-trailcams_mdv5a.0.0_results.zip,https://lila.science/public/lila-md-results/nz-trailcams_mdv5b.0.0_results.zip,,https://lila.science/public/lila-md-results/nz-trailcams_mdv5a.0.0_results.filtered_rde_0.150_0.850_40_0.200.zip
Desert Lion Conservation Camera Traps,desert-lion-camera-traps,Africa,Namibia,,desert-lion-camera-traps/annotated-imgs,,https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/annotated-imgs,https://storage.googleapis.com/public-datasets-lila/desert-lion-camera-traps/desert_lion_camera_traps.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/annotated-imgs,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/desert-lion-camera-traps/desert_lion_camera_traps.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/annotated-imgs,https://lilawildlife.blob.core.windows.net/lila-wildlife/desert-lion-camera-traps/desert_lion_camera_traps.json.zip,,https://lila.science/public/lila-md-results/desert-lion-camera-traps-2025-09-22-v5a.0.1_detections.zip,,,
Ohio Small Animals,ohio-small-animals,North America,United States,Ohio,osu-small-animals,,https://storage.googleapis.com/public-datasets-lila/osu-small-animals,https://storage.googleapis.com/public-datasets-lila/osu-small-animals/osu-small-animals.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/osu-small-animals/osu-small-animals.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals,https://lilawildlife.blob.core.windows.net/lila-wildlife/osu-small-animals/osu-small-animals.json.zip,,,,,
Snapshot Safari 2024 Expansion,snapshot-safari-2024-expansion,Africa,,,snapshot-safari-2024-expansion,,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion,https://storage.googleapis.com/public-datasets-lila/snapshot-safari-2024-expansion/snapshot_safari_2024_metadata.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/snapshot-safari-2024-expansion/snapshot_safari_2024_metadata.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion,https://lilawildlife.blob.core.windows.net/lila-wildlife/snapshot-safari-2024-expansion/snapshot_safari_2024_metadata.zip,,https://lila.science/public/lila-md-results/snapshot_safari_2024_lila_mdv5a.json.zip,,,https://lila.science/public/lila-md-results/snapshot_safari_2024_lila_mdv5a-rde_0.100_0.850_15_0.200.json.zip
Seattle(ish) Camera Traps,seattleish-camera-traps,North America,United States,Washington,seattleish-camera-traps,,https://storage.googleapis.com/public-datasets-lila/seattleish-camera-traps,https://storage.googleapis.com/public-datasets-lila/seattleish-camera-traps/seattleish_camera_traps.json.zip,,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/seattleish-camera-traps,http://us-west-2.opendata.source.coop.s3.amazonaws.com/agentmorris/lila-wildlife/seattleish-camera-traps/seattleish_camera_traps.json.zip,,https://lilawildlife.blob.core.windows.net/lila-wildlife/seattleish-camera-traps,https://lilawildlife.blob.core.windows.net/lila-wildlife/seattleish-camera-traps/seattleish_camera_traps.json.zip,,,,https://lila.science/public/lila-md-results/seattleish-camera-traps-2025-03-23-v1000.0.0-redwood_detections.json.zip,https://lila.science/public/lila-md-results/seattleish-camera-traps-2025-03-23-v1000.0.0-redwood_detections.filtered.json.zip
